No	Category	Subcategory	Description	Qty	UOM	Price/Unit (RM)	Total (RM)	Update Date	Supplier	Note
108	Aluminium	Door & Window Accessories	Casement Handle CW-M3 (L) Black	1	PCS	5	5	2022-06-10	YIT LOONG BUILDING MATERIALS SDN BHD	
109	Aluminium	Door & Window Accessories	Casement Handle CW-M3 (R) Black	1	PCS	5	5	2024-07-15	YIT LOONG BUILDING MATERIALS SDN BHD	
110	Aluminium	Door & Window Accessories	Casement Handle CW-M7(R) Black	1	PCS	5.00	5	2024-07-22	YIT LOONG BUILDING MATERIALS SDN BHD	
111	Aluminium	Door & Window Accessories	Conceal Folding Door Acc. Pivot Set 18S	1	SET	45	45	2024-01-05	YIT LOONG BUILDING MATERIALS SDN BHD	
112	Aluminium	Door & Window Accessories	Conceal Folding Door Acc. Pivot Set 19S	1	SET	45	45	2024-01-05	YIT LOONG BUILDING MATERIALS SDN BHD	
113	Aluminium	Door & Window Accessories	Conceal Folding Door Acc. Pivot Set 20S	1	SET	45	45	2024-01-05	YIT LOONG BUILDING MATERIALS SDN BHD	
114	Aluminium	Door & Window Accessories	Conceal Folding Door Acc. Pivot Set 21S	1	SET	45	45	2024-01-05	YIT LOONG BUILDING MATERIALS SDN BHD	
115	Aluminium	Door & Window Accessories	Conceal Folding Door Acc. Pivot Set 22S	1	SET	45	45	2024-01-05	YIT LOONG BUILDING MATERIALS SDN BHD	
116	Aluminium	Door & Window Accessories	Conceal Folding Door Acc. Pivot Set 23S	1	SET	45	45	2024-01-05	YIT LOONG BUILDING MATERIALS SDN BHD	
117	Aluminium	Door & Window Accessories	Conceal Folding Door Acc. Pivot Set 24S	1	SET	45	45	2024-01-05	YIT LOONG BUILDING MATERIALS SDN BHD	
118	Aluminium	Door & Window Accessories	Conceal Folding Door Acc. Pivot Set 25S	1	SET	45	45	2024-01-05	YIT LOONG BUILDING MATERIALS SDN BHD	
119	Aluminium	Door & Window Accessories	Conceal Folding Door Acc. Pivot Set 26S	1	SET	45	45	2024-01-05	YIT LOONG BUILDING MATERIALS SDN BHD	
120	Aluminium	Door & Window Accessories	Conceal Folding Door Acc. Pivot Set 27S	1	SET	45	45	2024-01-05	YIT LOONG BUILDING MATERIALS SDN BHD	
121	Aluminium	Door & Window Accessories	Conceal Folding Door Acc. Pivot Set 28S	1	SET	45	45	2024-01-05	YIT LOONG BUILDING MATERIALS SDN BHD	
